Configuration info
==================
Target platform:  aarch64-Android-36
Compiler:         clang (21.1.8 )
Compile options:  [-march=armv8-a+crypto;-Wa,--noexecstack;-O3;-fomit-frame-pointer;-Wbad-function-cast;-Wcast-qual;-Wnarrowing;-Wconversion]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       unknown
OpenSSL enabled:  Yes (OpenSSL 3.6.2 7 Apr 2026)
AES:              OpenSSL
SHA-2:            OpenSSL
SHA-3:            C
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  AES SHA2 NEON
Speed test
==========
Started at 2026-06-14 22:12:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | High-prec time (ns): mean | pop. stdev
------------------------------------ | ----------:| --------------:| ---------------:| ----------:| -------------------------:| ----------:
BIKE-L1                              |            |                |                 |            |                           |           
keygen                               |        270 |          3.008 |       11139.815 |   1179.638 |                  11139734 |    1179639
encaps                               |       4992 |          3.000 |         600.962 |     24.526 |                    600882 |      24519
decaps                               |        347 |          3.007 |        8665.415 |    217.143 |                   8665348 |     217125
BIKE-L3                              |            |                |                 |            |                           |           
keygen                               |         64 |          3.024 |       47243.625 |  12466.524 |                  47243504 |   12466547
encaps                               |       1592 |          3.000 |        1884.733 |     13.676 |                   1884655 |      13685
decaps                               |        108 |          3.005 |       27820.630 |    553.340 |                  27820499 |     553264
BIKE-L5                              |            |                |                 |            |                           |           
keygen                               |         33 |          3.061 |       92758.030 |   1022.159 |                  92757985 |    1022201
encaps                               |        604 |          3.002 |        4970.290 |     23.886 |                   4970191 |      23887
decaps                               |         42 |          3.025 |       72022.929 |    846.100 |                  72022869 |     846101
Classic-McEliece-348864              |            |                |                 |            |                           |           
keygen                               |          8 |          3.009 |      376140.000 | 206640.732 |                 376139872 |  206640881
encaps                               |      77213 |          3.000 |          38.854 |      5.315 |                     38765 |       5295
decaps                               |        124 |          3.014 |       24303.790 |    685.014 |                  24303684 |     685004
Classic-McEliece-348864f             |            |                |                 |            |                           |           
keygen                               |         26 |          3.082 |      118539.115 |    245.449 |                 118538782 |     245005
encaps                               |      72481 |          3.000 |          41.390 |      5.410 |                     41293 |       5387
decaps                               |        118 |          3.016 |       25557.847 |     35.879 |                  25557751 |      35911
Classic-McEliece-460896              |            |                |                 |            |                           |           
keygen                               |          1 |          3.206 |     3205639.000 |      0.000 |                3205638400 |          0
encaps                               |      40896 |          3.000 |          73.358 |     18.348 |                     73260 |      18343
decaps                               |         56 |          3.024 |       54006.732 |     67.393 |                  54006647 |      67424
Classic-McEliece-460896f             |            |                |                 |            |                           |           
keygen                               |          8 |          3.223 |      402876.875 |    425.995 |                 402876800 |     425891
encaps                               |      41301 |          3.000 |          72.639 |     17.888 |                     72540 |      17884
decaps                               |         56 |          3.022 |       53965.089 |     63.415 |                  53964960 |      63400
Classic-McEliece-6688128             |            |                |                 |            |                           |           
keygen                               |          3 |          3.374 |     1124809.000 | 364861.614 |                1124808533 |  364861961
encaps                               |      18098 |          3.000 |         165.769 |     40.035 |                    165669 |      40034
decaps                               |         28 |          3.097 |      110608.214 |     74.041 |                 110608174 |      74020
Classic-McEliece-6688128f            |            |                |                 |            |                           |           
keygen                               |          4 |          3.653 |      913158.500 |  23751.083 |                 913158080 |   23752052
encaps                               |      19162 |          3.000 |         156.565 |     34.316 |                    156472 |      34319
decaps                               |         29 |          3.006 |      103669.379 |    140.895 |                 103669301 |     140846
Classic-McEliece-6960119             |            |                |                 |            |                           |           
keygen                               |          1 |          3.088 |     3087654.000 |      0.000 |                3087652096 |          0
encaps                               |      10360 |          3.000 |         289.576 |     26.935 |                    289468 |      26936
decaps                               |         30 |          3.089 |      102969.000 |   3303.748 |                 102968823 |    3303690
Classic-McEliece-6960119f            |            |                |                 |            |                           |           
keygen                               |          4 |          3.182 |      795585.000 |    815.856 |                 795584896 |     816078
encaps                               |      10762 |          3.000 |         278.763 |     27.076 |                    278660 |      27077
decaps                               |         28 |          3.002 |      107203.643 |     76.976 |                 107203502 |      77031
Classic-McEliece-8192128             |            |                |                 |            |                           |           
keygen                               |          1 |          6.464 |     6464217.000 |      0.000 |                6464216832 |          0
encaps                               |      22908 |          3.000 |         130.961 |     24.369 |                    130864 |      24366
decaps                               |         23 |          3.075 |      133687.609 |   3260.062 |                 133687452 |    3260080
Classic-McEliece-8192128f            |            |                |                 |            |                           |           
keygen                               |          3 |          4.300 |     1433310.000 |   1170.083 |                1433309696 |    1170795
encaps                               |      21041 |          3.000 |         142.580 |     27.325 |                    142478 |      27317
decaps                               |         23 |          3.063 |      133175.913 |   4877.354 |                 133175686 |    4877581
Kyber512                             |            |                |                 |            |                           |           
keygen                               |      95281 |          3.000 |          31.486 |      3.404 |                     31393 |       3380
encaps                               |      74913 |          3.000 |          40.047 |      6.809 |                     39954 |       6794
decaps                               |      59848 |          3.000 |          50.128 |     62.989 |                     50033 |      62977
Kyber768                             |            |                |                 |            |                           |           
keygen                               |      53924 |          3.000 |          55.635 |     15.470 |                     55538 |      15462
encaps                               |      45917 |          3.000 |          65.336 |      9.803 |                     65238 |       9794
decaps                               |      38715 |          3.000 |          77.490 |     16.156 |                     77386 |      16146
Kyber1024                            |            |                |                 |            |                           |           
keygen                               |      32474 |          3.000 |          92.383 |     15.402 |                     92279 |      15390
encaps                               |      28481 |          3.000 |         105.335 |     14.006 |                    105227 |      13995
decaps                               |      24880 |          3.000 |         120.580 |     16.792 |                    120469 |      16781
ML-KEM-512                           |            |                |                 |            |                           |           
keygen                               |     113841 |          3.000 |          26.353 |      9.303 |                     26241 |       9290
encaps                               |      99377 |          3.000 |          30.188 |      3.835 |                     30071 |       3814
decaps                               |      84753 |          3.000 |          35.397 |     11.518 |                     35280 |      11509
ML-KEM-768                           |            |                |                 |            |                           |           
keygen                               |      61944 |          3.000 |          48.431 |     17.659 |                     48315 |      17651
encaps                               |      61115 |          3.000 |          49.088 |      8.439 |                     48968 |       8423
decaps                               |      56498 |          3.000 |          53.100 |      5.473 |                     52989 |       5453
ML-KEM-1024                          |            |                |                 |            |                           |           
keygen                               |      44654 |          3.000 |          67.184 |     10.101 |                     67072 |      10094
encaps                               |      46620 |          3.000 |          64.351 |      9.528 |                     64241 |       9515
decaps                               |      40676 |          3.000 |          73.755 |     10.287 |                     73642 |      10279
NTRU-HPS-2048-509                    |            |                |                 |            |                           |           
keygen                               |       1457 |          3.000 |        2059.213 |     79.050 |                   2059106 |      79041
encaps                               |      42084 |          3.000 |          71.287 |      4.957 |                     71178 |       4932
decaps                               |      19892 |          3.000 |         150.817 |     14.345 |                    150705 |      14329
NTRU-HPS-2048-677                    |            |                |                 |            |                           |           
keygen                               |       1031 |          3.002 |        2912.007 |     19.146 |                   2911876 |      19139
encaps                               |      44269 |          3.000 |          67.769 |      8.885 |                     67658 |       8874
decaps                               |      28050 |          3.000 |         106.954 |      6.951 |                    106843 |       6928
NTRU-HPS-4096-821                    |            |                |                 |            |                           |           
keygen                               |        760 |          3.001 |        3948.788 |    131.300 |                   3948710 |     131312
encaps                               |      37319 |          3.000 |          80.389 |      9.214 |                     80287 |       9196
decaps                               |      24107 |          3.000 |         124.446 |     13.558 |                    124347 |      13548
NTRU-HPS-4096-1229                   |            |                |                 |            |                           |           
keygen                               |        384 |          3.008 |        7832.518 |     35.609 |                   7832433 |      35593
encaps                               |      24549 |          3.001 |         122.242 |     24.298 |                    122150 |      24298
decaps                               |      15597 |          3.000 |         192.353 |     38.838 |                    192262 |      38831
NTRU-HRSS-701                        |            |                |                 |            |                           |           
keygen                               |       1128 |          3.001 |        2660.189 |    353.446 |                   2660093 |     353422
encaps                               |      79126 |          3.000 |          37.915 |      4.283 |                     37818 |       4258
decaps                               |      29562 |          3.000 |         101.482 |      5.304 |                    101386 |       5283
NTRU-HRSS-1373                       |            |                |                 |            |                           |           
keygen                               |        277 |          3.003 |       10839.776 |    207.059 |                  10839642 |     207066
encaps                               |      27423 |          3.000 |         109.397 |      6.104 |                    109290 |       6077
decaps                               |       9851 |          3.000 |         304.564 |     13.165 |                    304464 |      13154
FrodoKEM-640-AES                     |            |                |                 |            |                           |           
keygen                               |       4949 |          3.000 |         606.224 |     23.937 |                    606126 |      23942
encaps                               |       3829 |          3.000 |         783.507 |     25.639 |                    783410 |      25635
decaps                               |       4725 |          3.000 |         635.007 |    769.928 |                    634913 |     769913
FrodoKEM-640-SHAKE                   |            |                |                 |            |                           |           
keygen                               |       1392 |          3.002 |        2156.350 |     80.400 |                   2156258 |      80385
encaps                               |       1258 |          3.002 |        2386.525 |     48.772 |                   2386443 |      48750
decaps                               |       1275 |          3.002 |        2354.584 |     44.752 |                   2354487 |      44749
FrodoKEM-976-AES                     |            |                |                 |            |                           |           
keygen                               |       3574 |          3.001 |         839.599 |     21.570 |                    839519 |      21559
encaps                               |       2779 |          3.000 |        1079.552 |     35.639 |                   1079467 |      35636
decaps                               |       2889 |          3.001 |        1038.710 |     32.423 |                   1038620 |      32417
FrodoKEM-976-SHAKE                   |            |                |                 |            |                           |           
keygen                               |        623 |          3.002 |        4819.019 |     81.614 |                   4818931 |      81631
encaps                               |        575 |          3.001 |        5219.325 |    138.428 |                   5219255 |     138452
decaps                               |        597 |          3.004 |        5031.116 |    114.112 |                   5031020 |     114107
FrodoKEM-1344-AES                    |            |                |                 |            |                           |           
keygen                               |       2075 |          3.001 |        1446.102 |     23.616 |                   1446003 |      23614
encaps                               |       1602 |          3.000 |        1872.923 |     17.586 |                   1872826 |      17572
decaps                               |       1651 |          3.001 |        1817.591 |     15.532 |                   1817502 |      15538
FrodoKEM-1344-SHAKE                  |            |                |                 |            |                           |           
keygen                               |        338 |          3.002 |        8882.012 |    192.246 |                   8881919 |     192229
encaps                               |        300 |          3.010 |       10032.687 |     18.352 |                  10032603 |      18314
decaps                               |        301 |          3.000 |        9966.894 |     22.227 |                   9966794 |      22276
Ended at 2026-06-14 22:17:26
