group,rtt_ms,trial,seconds,read_bytes,written_bytes
x25519,10,1,0.05,748,287
x25519,10,2,0.05,749,287
x25519,10,3,0.05,748,287
x25519,10,4,0.05,748,287
x25519,10,5,0.05,749,287
x25519,10,6,0.05,750,287
x25519,10,7,0.05,748,287
x25519,10,8,0.05,749,287
x25519,10,9,0.05,748,287
x25519,10,10,0.05,749,287
x25519,10,11,0.05,749,287
x25519,10,12,0.04,748,287
x25519,10,13,0.04,749,287
x25519,10,14,0.05,748,287
x25519,10,15,0.05,749,287
x25519,10,16,0.05,750,287
x25519,10,17,0.05,748,287
x25519,10,18,0.05,749,287
x25519,10,19,0.05,750,287
x25519,10,20,0.05,749,287
X25519MLKEM768,10,1,0.06,1836,1463
X25519MLKEM768,10,2,0.05,1837,1463
X25519MLKEM768,10,3,0.06,1837,1463
X25519MLKEM768,10,4,0.05,1836,1463
X25519MLKEM768,10,5,0.05,1838,1463
X25519MLKEM768,10,6,0.05,1837,1463
X25519MLKEM768,10,7,0.05,1837,1463
X25519MLKEM768,10,8,0.05,1837,1463
X25519MLKEM768,10,9,0.05,1838,1463
X25519MLKEM768,10,10,0.05,1836,1463
X25519MLKEM768,10,11,0.05,1837,1463
X25519MLKEM768,10,12,0.05,1836,1463
X25519MLKEM768,10,13,0.05,1837,1463
X25519MLKEM768,10,14,0.06,1837,1463
X25519MLKEM768,10,15,0.04,1837,1463
X25519MLKEM768,10,16,0.05,1837,1463
X25519MLKEM768,10,17,0.06,1836,1463
X25519MLKEM768,10,18,0.05,1836,1463
X25519MLKEM768,10,19,0.05,1838,1463
X25519MLKEM768,10,20,0.05,1838,1463
mlkem512,10,1,0.05,1485,1047
mlkem512,10,2,0.05,1486,1047
mlkem512,10,3,0.05,1484,1047
mlkem512,10,4,0.05,1486,1047
mlkem512,10,5,0.05,1486,1047
mlkem512,10,6,0.05,1484,1047
mlkem512,10,7,0.05,1485,1047
mlkem512,10,8,0.05,1486,1047
mlkem512,10,9,0.05,1485,1047
mlkem512,10,10,0.05,1485,1047
mlkem512,10,11,0.05,1485,1047
mlkem512,10,12,0.05,1486,1047
mlkem512,10,13,0.05,1484,1047
mlkem512,10,14,0.05,1484,1047
mlkem512,10,15,0.05,1485,1047
mlkem512,10,16,0.05,1485,1047
mlkem512,10,17,0.05,1486,1047
mlkem512,10,18,0.05,1484,1047
mlkem512,10,19,0.05,1485,1047
mlkem512,10,20,0.04,1485,1047
mlkem768,10,1,0.05,1804,1431
mlkem768,10,2,0.05,1804,1431
mlkem768,10,3,0.05,1804,1431
mlkem768,10,4,0.05,1805,1431
mlkem768,10,5,0.05,1805,1431
mlkem768,10,6,0.04,1805,1431
mlkem768,10,7,0.05,1805,1431
mlkem768,10,8,0.05,1804,1431
mlkem768,10,9,0.05,1804,1431
mlkem768,10,10,0.05,1806,1431
mlkem768,10,11,0.05,1804,1431
mlkem768,10,12,0.05,1806,1431
mlkem768,10,13,0.05,1805,1431
mlkem768,10,14,0.05,1806,1431
mlkem768,10,15,0.05,1805,1431
mlkem768,10,16,0.05,1806,1431
mlkem768,10,17,0.04,1804,1431
mlkem768,10,18,0.04,1805,1431
mlkem768,10,19,0.04,1805,1431
