scheme,set,category,pk,ct,rtt_ms,trial,seconds
ML-KEM,ML-KEM-512,1,800,768,50,0,0.102043
ML-KEM,ML-KEM-512,1,800,768,50,1,0.101343
ML-KEM,ML-KEM-512,1,800,768,50,2,0.101236
ML-KEM,ML-KEM-512,1,800,768,50,3,0.101338
ML-KEM,ML-KEM-512,1,800,768,50,4,0.100884
ML-KEM,ML-KEM-512,1,800,768,50,5,0.101021
ML-KEM,ML-KEM-512,1,800,768,50,6,0.100910
ML-KEM,ML-KEM-512,1,800,768,50,7,0.101240
ML-KEM,ML-KEM-512,1,800,768,50,8,0.101094
ML-KEM,ML-KEM-512,1,800,768,50,9,0.100955
ML-KEM,ML-KEM-512,1,800,768,50,10,0.100839
ML-KEM,ML-KEM-512,1,800,768,50,11,0.100911
ML-KEM,ML-KEM-512,1,800,768,50,12,0.100933
ML-KEM,ML-KEM-512,1,800,768,50,13,0.100835
ML-KEM,ML-KEM-512,1,800,768,50,14,0.100663
ML-KEM,ML-KEM-512,1,800,768,50,15,0.100649
ML-KEM,ML-KEM-512,1,800,768,50,16,0.100561
ML-KEM,ML-KEM-512,1,800,768,50,17,0.361099
ML-KEM,ML-KEM-512,1,800,768,50,18,0.100809
ML-KEM,ML-KEM-512,1,800,768,50,19,0.100759
ML-KEM,ML-KEM-512,1,800,768,50,20,0.100793
ML-KEM,ML-KEM-512,1,800,768,50,21,0.100808
ML-KEM,ML-KEM-512,1,800,768,50,22,0.100661
ML-KEM,ML-KEM-512,1,800,768,50,23,0.100662
ML-KEM,ML-KEM-512,1,800,768,50,24,0.100837
ML-KEM,ML-KEM-512,1,800,768,50,25,0.100798
ML-KEM,ML-KEM-512,1,800,768,50,26,0.100850
ML-KEM,ML-KEM-512,1,800,768,50,27,0.101085
ML-KEM,ML-KEM-512,1,800,768,50,28,0.101010
ML-KEM,ML-KEM-512,1,800,768,50,29,0.100815
ML-KEM,ML-KEM-768,3,1184,1088,50,0,0.101006
ML-KEM,ML-KEM-768,3,1184,1088,50,1,0.100994
ML-KEM,ML-KEM-768,3,1184,1088,50,2,0.100843
ML-KEM,ML-KEM-768,3,1184,1088,50,3,0.100990
ML-KEM,ML-KEM-768,3,1184,1088,50,4,0.100940
ML-KEM,ML-KEM-768,3,1184,1088,50,5,0.100856
ML-KEM,ML-KEM-768,3,1184,1088,50,6,0.100936
ML-KEM,ML-KEM-768,3,1184,1088,50,7,0.100723
ML-KEM,ML-KEM-768,3,1184,1088,50,8,0.100700
ML-KEM,ML-KEM-768,3,1184,1088,50,9,0.166730
ML-KEM,ML-KEM-768,3,1184,1088,50,10,0.101163
ML-KEM,ML-KEM-768,3,1184,1088,50,11,0.101147
ML-KEM,ML-KEM-768,3,1184,1088,50,12,0.357112
ML-KEM,ML-KEM-768,3,1184,1088,50,13,0.101212
ML-KEM,ML-KEM-768,3,1184,1088,50,14,0.101014
ML-KEM,ML-KEM-768,3,1184,1088,50,15,0.101020
ML-KEM,ML-KEM-768,3,1184,1088,50,16,0.101295
ML-KEM,ML-KEM-768,3,1184,1088,50,17,0.101235
ML-KEM,ML-KEM-768,3,1184,1088,50,18,0.101112
ML-KEM,ML-KEM-768,3,1184,1088,50,19,0.100940
ML-KEM,ML-KEM-768,3,1184,1088,50,20,0.101418
ML-KEM,ML-KEM-768,3,1184,1088,50,21,0.101170
ML-KEM,ML-KEM-768,3,1184,1088,50,22,0.101223
ML-KEM,ML-KEM-768,3,1184,1088,50,23,0.101090
ML-KEM,ML-KEM-768,3,1184,1088,50,24,1.157863
ML-KEM,ML-KEM-768,3,1184,1088,50,25,0.101362
ML-KEM,ML-KEM-768,3,1184,1088,50,26,0.100976
ML-KEM,ML-KEM-768,3,1184,1088,50,27,0.101067
ML-KEM,ML-KEM-768,3,1184,1088,50,28,0.101016
ML-KEM,ML-KEM-768,3,1184,1088,50,29,0.101013
ML-KEM,ML-KEM-1024,5,1568,1568,50,0,0.101118
ML-KEM,ML-KEM-1024,5,1568,1568,50,1,0.101155
ML-KEM,ML-KEM-1024,5,1568,1568,50,2,0.101217
ML-KEM,ML-KEM-1024,5,1568,1568,50,3,0.101029
ML-KEM,ML-KEM-1024,5,1568,1568,50,4,1.134728
ML-KEM,ML-KEM-1024,5,1568,1568,50,5,1.176796
ML-KEM,ML-KEM-1024,5,1568,1568,50,6,0.101007
ML-KEM,ML-KEM-1024,5,1568,1568,50,7,0.100927
ML-KEM,ML-KEM-1024,5,1568,1568,50,8,0.100933
