scheme,set,category,pk,ct,rtt_ms,trial,seconds
ML-KEM,ML-KEM-512,1,800,768,10,0,0.021481
ML-KEM,ML-KEM-512,1,800,768,10,1,0.020788
ML-KEM,ML-KEM-512,1,800,768,10,2,0.020677
ML-KEM,ML-KEM-512,1,800,768,10,3,0.020716
ML-KEM,ML-KEM-512,1,800,768,10,4,0.020528
ML-KEM,ML-KEM-512,1,800,768,10,5,0.020444
ML-KEM,ML-KEM-512,1,800,768,10,6,0.020437
ML-KEM,ML-KEM-512,1,800,768,10,7,0.020275
ML-KEM,ML-KEM-512,1,800,768,10,8,0.020351
ML-KEM,ML-KEM-512,1,800,768,10,9,0.020323
ML-KEM,ML-KEM-512,1,800,768,10,10,0.020279
ML-KEM,ML-KEM-512,1,800,768,10,11,0.020653
ML-KEM,ML-KEM-512,1,800,768,10,12,0.020566
ML-KEM,ML-KEM-512,1,800,768,10,13,0.020666
ML-KEM,ML-KEM-512,1,800,768,10,14,0.020356
ML-KEM,ML-KEM-512,1,800,768,10,15,0.020326
ML-KEM,ML-KEM-512,1,800,768,10,16,0.020396
ML-KEM,ML-KEM-512,1,800,768,10,17,0.020378
ML-KEM,ML-KEM-512,1,800,768,10,18,0.020293
ML-KEM,ML-KEM-512,1,800,768,10,19,0.020625
ML-KEM,ML-KEM-512,1,800,768,10,20,0.020692
ML-KEM,ML-KEM-512,1,800,768,10,21,0.020650
ML-KEM,ML-KEM-512,1,800,768,10,22,0.020641
ML-KEM,ML-KEM-512,1,800,768,10,23,0.020483
ML-KEM,ML-KEM-512,1,800,768,10,24,0.020615
ML-KEM,ML-KEM-512,1,800,768,10,25,0.020429
ML-KEM,ML-KEM-512,1,800,768,10,26,0.020422
ML-KEM,ML-KEM-512,1,800,768,10,27,0.020769
ML-KEM,ML-KEM-512,1,800,768,10,28,0.020736
ML-KEM,ML-KEM-512,1,800,768,10,29,0.020617
ML-KEM,ML-KEM-768,3,1184,1088,10,0,0.020846
ML-KEM,ML-KEM-768,3,1184,1088,10,1,0.020687
ML-KEM,ML-KEM-768,3,1184,1088,10,2,0.020649
ML-KEM,ML-KEM-768,3,1184,1088,10,3,0.020905
ML-KEM,ML-KEM-768,3,1184,1088,10,4,0.021042
ML-KEM,ML-KEM-768,3,1184,1088,10,5,0.020705
ML-KEM,ML-KEM-768,3,1184,1088,10,6,0.020669
ML-KEM,ML-KEM-768,3,1184,1088,10,7,0.020664
ML-KEM,ML-KEM-768,3,1184,1088,10,8,0.020766
ML-KEM,ML-KEM-768,3,1184,1088,10,9,0.020663
ML-KEM,ML-KEM-768,3,1184,1088,10,10,0.020637
ML-KEM,ML-KEM-768,3,1184,1088,10,11,0.020755
ML-KEM,ML-KEM-768,3,1184,1088,10,12,0.020834
ML-KEM,ML-KEM-768,3,1184,1088,10,13,0.020648
ML-KEM,ML-KEM-768,3,1184,1088,10,14,0.020748
ML-KEM,ML-KEM-768,3,1184,1088,10,15,0.020655
ML-KEM,ML-KEM-768,3,1184,1088,10,16,0.021027
ML-KEM,ML-KEM-768,3,1184,1088,10,17,0.020864
ML-KEM,ML-KEM-768,3,1184,1088,10,18,0.020796
ML-KEM,ML-KEM-768,3,1184,1088,10,19,0.020874
ML-KEM,ML-KEM-768,3,1184,1088,10,20,0.020729
ML-KEM,ML-KEM-768,3,1184,1088,10,21,0.020805
ML-KEM,ML-KEM-768,3,1184,1088,10,22,0.020701
ML-KEM,ML-KEM-768,3,1184,1088,10,23,0.020678
ML-KEM,ML-KEM-768,3,1184,1088,10,24,0.020501
ML-KEM,ML-KEM-768,3,1184,1088,10,25,0.020665
ML-KEM,ML-KEM-768,3,1184,1088,10,26,0.020722
ML-KEM,ML-KEM-768,3,1184,1088,10,27,0.020747
ML-KEM,ML-KEM-768,3,1184,1088,10,28,0.020852
ML-KEM,ML-KEM-768,3,1184,1088,10,29,0.020777
ML-KEM,ML-KEM-1024,5,1568,1568,10,0,0.020929
ML-KEM,ML-KEM-1024,5,1568,1568,10,1,0.020825
ML-KEM,ML-KEM-1024,5,1568,1568,10,2,0.020606
ML-KEM,ML-KEM-1024,5,1568,1568,10,3,0.020606
ML-KEM,ML-KEM-1024,5,1568,1568,10,4,0.020512
ML-KEM,ML-KEM-1024,5,1568,1568,10,5,0.020700
ML-KEM,ML-KEM-1024,5,1568,1568,10,6,0.020763
ML-KEM,ML-KEM-1024,5,1568,1568,10,7,0.020988
ML-KEM,ML-KEM-1024,5,1568,1568,10,8,0.020825
ML-KEM,ML-KEM-1024,5,1568,1568,10,9,0.020626
ML-KEM,ML-KEM-1024,5,1568,1568,10,10,0.020376
ML-KEM,ML-KEM-1024,5,1568,1568,10,11,0.020427
ML-KEM,ML-KEM-1024,5,1568,1568,10,12,0.020482
ML-KEM,ML-KEM-1024,5,1568,1568,10,13,0.020413
ML-KEM,ML-KEM-1024,5,1568,1568,10,14,0.020548
ML-KEM,ML-KEM-1024,5,1568,1568,10,15,0.020355
ML-KEM,ML-KEM-1024,5,1568,1568,10,16,0.020484
ML-KEM,ML-KEM-1024,5,1568,1568,10,17,0.020468
ML-KEM,ML-KEM-1024,5,1568,1568,10,18,0.020468
ML-KEM,ML-KEM-1024,5,1568,1568,10,19,0.020333
ML-KEM,ML-KEM-1024,5,1568,1568,10,20,0.020588
ML-KEM,ML-KEM-1024,5,1568,1568,10,21,0.020512
ML-KEM,ML-KEM-1024,5,1568,1568,10,22,0.020667
ML-KEM,ML-KEM-1024,5,1568,1568,10,23,0.020510
ML-KEM,ML-KEM-1024,5,1568,1568,10,24,0.020508
ML-KEM,ML-KEM-1024,5,1568,1568,10,25,0.020563
ML-KEM,ML-KEM-1024,5,1568,1568,10,26,0.020673
ML-KEM,ML-KEM-1024,5,1568,1568,10,27,0.020871
ML-KEM,ML-KEM-1024,5,1568,1568,10,28,0.020819
ML-KEM,ML-KEM-1024,5,1568,1568,10,29,0.020757
NTRU,ntruhps2048677,1,930,930,10,0,0.020866
NTRU,ntruhps2048677,1,930,930,10,1,0.021210
NTRU,ntruhps2048677,1,930,930,10,2,0.020983
NTRU,ntruhps2048677,1,930,930,10,3,0.020959
NTRU,ntruhps2048677,1,930,930,10,4,0.020862
NTRU,ntruhps2048677,1,930,930,10,5,0.021065
NTRU,ntruhps2048677,1,930,930,10,6,0.020670
NTRU,ntruhps2048677,1,930,930,10,7,0.020826
NTRU,ntruhps2048677,1,930,930,10,8,0.020668
NTRU,ntruhps2048677,1,930,930,10,9,0.020871
NTRU,ntruhps2048677,1,930,930,10,10,0.020493
NTRU,ntruhps2048677,1,930,930,10,11,0.020677
NTRU,ntruhps2048677,1,930,930,10,12,0.020990
NTRU,ntruhps2048677,1,930,930,10,13,0.021008
NTRU,ntruhps2048677,1,930,930,10,14,0.020683
NTRU,ntruhps2048677,1,930,930,10,15,0.020822
NTRU,ntruhps2048677,1,930,930,10,16,0.020831
NTRU,ntruhps2048677,1,930,930,10,17,0.020943
NTRU,ntruhps2048677,1,930,930,10,18,0.020650
NTRU,ntruhps2048677,1,930,930,10,19,0.020851
NTRU,ntruhps2048677,1,930,930,10,20,0.020680
NTRU,ntruhps2048677,1,930,930,10,21,0.020920
NTRU,ntruhps2048677,1,930,930,10,22,0.020943
NTRU,ntruhps2048677,1,930,930,10,23,0.020735
NTRU,ntruhps2048677,1,930,930,10,24,0.020556
NTRU,ntruhps2048677,1,930,930,10,25,0.020876
NTRU,ntruhps2048677,1,930,930,10,26,0.020754
NTRU,ntruhps2048677,1,930,930,10,27,0.020841
NTRU,ntruhps2048677,1,930,930,10,28,0.020698
NTRU,ntruhps2048677,1,930,930,10,29,0.020829
NTRU,ntruhps4096821,3,1230,1230,10,0,0.020776
NTRU,ntruhps4096821,3,1230,1230,10,1,0.020831
NTRU,ntruhps4096821,3,1230,1230,10,2,0.020811
NTRU,ntruhps4096821,3,1230,1230,10,3,0.021074
NTRU,ntruhps4096821,3,1230,1230,10,4,0.020789
NTRU,ntruhps4096821,3,1230,1230,10,5,0.020726
NTRU,ntruhps4096821,3,1230,1230,10,6,0.020828
NTRU,ntruhps4096821,3,1230,1230,10,7,0.020890
NTRU,ntruhps4096821,3,1230,1230,10,8,0.020895
NTRU,ntruhps4096821,3,1230,1230,10,9,0.020901
NTRU,ntruhps4096821,3,1230,1230,10,10,0.020937
NTRU,ntruhps4096821,3,1230,1230,10,11,0.020773
NTRU,ntruhps4096821,3,1230,1230,10,12,0.020715
NTRU,ntruhps4096821,3,1230,1230,10,13,0.020786
NTRU,ntruhps4096821,3,1230,1230,10,14,0.020888
NTRU,ntruhps4096821,3,1230,1230,10,15,0.020798
NTRU,ntruhps4096821,3,1230,1230,10,16,0.020677
NTRU,ntruhps4096821,3,1230,1230,10,17,0.020769
NTRU,ntruhps4096821,3,1230,1230,10,18,0.020852
NTRU,ntruhps4096821,3,1230,1230,10,19,0.020947
NTRU,ntruhps4096821,3,1230,1230,10,20,0.020717
NTRU,ntruhps4096821,3,1230,1230,10,21,0.020937
NTRU,ntruhps4096821,3,1230,1230,10,22,0.021079
NTRU,ntruhps4096821,3,1230,1230,10,23,0.020822
NTRU,ntruhps4096821,3,1230,1230,10,24,0.020678
NTRU,ntruhps4096821,3,1230,1230,10,25,0.020913
NTRU,ntruhps4096821,3,1230,1230,10,26,0.020924
NTRU,ntruhps4096821,3,1230,1230,10,27,0.021080
NTRU,ntruhps4096821,3,1230,1230,10,28,0.020633
NTRU,ntruhps4096821,3,1230,1230,10,29,0.020805
HQC,HQC-1,1,2241,4433,10,0,0.020996
HQC,HQC-1,1,2241,4433,10,1,0.020849
HQC,HQC-1,1,2241,4433,10,2,0.020788
HQC,HQC-1,1,2241,4433,10,3,0.020863
HQC,HQC-1,1,2241,4433,10,4,0.020981
HQC,HQC-1,1,2241,4433,10,5,0.020752
HQC,HQC-1,1,2241,4433,10,6,0.020692
HQC,HQC-1,1,2241,4433,10,7,0.020625
HQC,HQC-1,1,2241,4433,10,8,0.020754
HQC,HQC-1,1,2241,4433,10,9,0.020858
HQC,HQC-1,1,2241,4433,10,10,0.020943
HQC,HQC-1,1,2241,4433,10,11,0.021284
HQC,HQC-1,1,2241,4433,10,12,0.020741
HQC,HQC-1,1,2241,4433,10,13,0.020882
HQC,HQC-1,1,2241,4433,10,14,0.020831
HQC,HQC-1,1,2241,4433,10,15,0.021095
HQC,HQC-1,1,2241,4433,10,16,0.020932
HQC,HQC-1,1,2241,4433,10,17,0.020825
HQC,HQC-1,1,2241,4433,10,18,0.020934
HQC,HQC-1,1,2241,4433,10,19,0.020766
HQC,HQC-1,1,2241,4433,10,20,0.020741
HQC,HQC-1,1,2241,4433,10,21,0.020685
HQC,HQC-1,1,2241,4433,10,22,0.021014
HQC,HQC-1,1,2241,4433,10,23,0.021094
HQC,HQC-1,1,2241,4433,10,24,0.020766
HQC,HQC-1,1,2241,4433,10,25,0.020806
HQC,HQC-1,1,2241,4433,10,26,0.020795
HQC,HQC-1,1,2241,4433,10,27,0.020949
HQC,HQC-1,1,2241,4433,10,28,0.020930
HQC,HQC-1,1,2241,4433,10,29,0.020928
HQC,HQC-3,3,4514,8978,10,0,0.020756
HQC,HQC-3,3,4514,8978,10,1,0.020694
HQC,HQC-3,3,4514,8978,10,2,0.020948
HQC,HQC-3,3,4514,8978,10,3,0.020845
HQC,HQC-3,3,4514,8978,10,4,0.020867
HQC,HQC-3,3,4514,8978,10,5,0.021023
HQC,HQC-3,3,4514,8978,10,6,0.020677
HQC,HQC-3,3,4514,8978,10,7,0.020665
HQC,HQC-3,3,4514,8978,10,8,0.020680
HQC,HQC-3,3,4514,8978,10,9,0.021003
HQC,HQC-3,3,4514,8978,10,10,0.020776
HQC,HQC-3,3,4514,8978,10,11,0.020688
HQC,HQC-3,3,4514,8978,10,12,0.020903
HQC,HQC-3,3,4514,8978,10,13,0.021142
HQC,HQC-3,3,4514,8978,10,14,0.021192
HQC,HQC-3,3,4514,8978,10,15,0.021188
HQC,HQC-3,3,4514,8978,10,16,0.021575
HQC,HQC-3,3,4514,8978,10,17,0.020946
HQC,HQC-3,3,4514,8978,10,18,0.020952
HQC,HQC-3,3,4514,8978,10,19,0.021095
HQC,HQC-3,3,4514,8978,10,20,0.020777
HQC,HQC-3,3,4514,8978,10,21,0.020724
HQC,HQC-3,3,4514,8978,10,22,0.020871
HQC,HQC-3,3,4514,8978,10,23,0.021017
HQC,HQC-3,3,4514,8978,10,24,0.020977
HQC,HQC-3,3,4514,8978,10,25,0.020794
HQC,HQC-3,3,4514,8978,10,26,0.020905
HQC,HQC-3,3,4514,8978,10,27,0.021007
HQC,HQC-3,3,4514,8978,10,28,0.020808
HQC,HQC-3,3,4514,8978,10,29,0.020887
HQC,HQC-5,5,7237,14421,10,0,0.020972
HQC,HQC-5,5,7237,14421,10,1,0.021230
HQC,HQC-5,5,7237,14421,10,2,0.020925
HQC,HQC-5,5,7237,14421,10,3,0.021085
HQC,HQC-5,5,7237,14421,10,4,0.021059
HQC,HQC-5,5,7237,14421,10,5,0.020930
HQC,HQC-5,5,7237,14421,10,6,0.020786
HQC,HQC-5,5,7237,14421,10,7,0.020742
HQC,HQC-5,5,7237,14421,10,8,0.020645
HQC,HQC-5,5,7237,14421,10,9,0.020949
HQC,HQC-5,5,7237,14421,10,10,0.020769
HQC,HQC-5,5,7237,14421,10,11,0.020984
HQC,HQC-5,5,7237,14421,10,12,0.021008
HQC,HQC-5,5,7237,14421,10,13,0.020729
HQC,HQC-5,5,7237,14421,10,14,0.020719
HQC,HQC-5,5,7237,14421,10,15,0.020755
HQC,HQC-5,5,7237,14421,10,16,0.020729
HQC,HQC-5,5,7237,14421,10,17,0.020615
HQC,HQC-5,5,7237,14421,10,18,0.020846
HQC,HQC-5,5,7237,14421,10,19,0.020693
HQC,HQC-5,5,7237,14421,10,20,0.020991
HQC,HQC-5,5,7237,14421,10,21,0.021134
HQC,HQC-5,5,7237,14421,10,22,0.020836
HQC,HQC-5,5,7237,14421,10,23,0.020822
HQC,HQC-5,5,7237,14421,10,24,0.021028
HQC,HQC-5,5,7237,14421,10,25,0.020696
