scheme,set,category,pk,ct,trial,seconds
ML-KEM,ML-KEM-512,1,800,768,0,0.470642
ML-KEM,ML-KEM-512,1,800,768,1,0.545389
ML-KEM,ML-KEM-512,1,800,768,2,0.481761
ML-KEM,ML-KEM-512,1,800,768,3,0.492309
ML-KEM,ML-KEM-512,1,800,768,4,0.563113
ML-KEM,ML-KEM-512,1,800,768,5,0.578835
ML-KEM,ML-KEM-512,1,800,768,6,0.549678
ML-KEM,ML-KEM-512,1,800,768,7,0.575837
ML-KEM,ML-KEM-512,1,800,768,8,0.546912
ML-KEM,ML-KEM-512,1,800,768,9,0.591079
ML-KEM,ML-KEM-512,1,800,768,10,0.562691
ML-KEM,ML-KEM-512,1,800,768,11,0.551755
ML-KEM,ML-KEM-512,1,800,768,12,0.652978
ML-KEM,ML-KEM-512,1,800,768,13,0.498062
ML-KEM,ML-KEM-512,1,800,768,14,0.690397
ML-KEM,ML-KEM-512,1,800,768,15,0.545612
ML-KEM,ML-KEM-512,1,800,768,16,0.508093
ML-KEM,ML-KEM-512,1,800,768,17,0.515498
ML-KEM,ML-KEM-512,1,800,768,18,0.580454
ML-KEM,ML-KEM-512,1,800,768,19,0.491107
ML-KEM,ML-KEM-512,1,800,768,20,0.536655
ML-KEM,ML-KEM-512,1,800,768,21,0.611223
ML-KEM,ML-KEM-512,1,800,768,22,0.614297
ML-KEM,ML-KEM-512,1,800,768,23,0.645127
ML-KEM,ML-KEM-512,1,800,768,24,0.586138
ML-KEM,ML-KEM-512,1,800,768,25,0.538174
ML-KEM,ML-KEM-512,1,800,768,26,0.584626
ML-KEM,ML-KEM-512,1,800,768,27,0.617172
ML-KEM,ML-KEM-512,1,800,768,28,0.508212
ML-KEM,ML-KEM-512,1,800,768,29,0.613796
ML-KEM,ML-KEM-768,3,1184,1088,0,0.621685
ML-KEM,ML-KEM-768,3,1184,1088,1,0.468995
ML-KEM,ML-KEM-768,3,1184,1088,2,0.475096
ML-KEM,ML-KEM-768,3,1184,1088,3,0.587403
ML-KEM,ML-KEM-768,3,1184,1088,4,0.612100
ML-KEM,ML-KEM-768,3,1184,1088,5,0.575509
ML-KEM,ML-KEM-768,3,1184,1088,6,0.651395
ML-KEM,ML-KEM-768,3,1184,1088,7,0.613777
ML-KEM,ML-KEM-768,3,1184,1088,8,0.613789
ML-KEM,ML-KEM-768,3,1184,1088,9,0.547402
ML-KEM,ML-KEM-768,3,1184,1088,10,0.533967
ML-KEM,ML-KEM-768,3,1184,1088,11,0.556804
ML-KEM,ML-KEM-768,3,1184,1088,12,0.466639
ML-KEM,ML-KEM-768,3,1184,1088,13,0.557115
ML-KEM,ML-KEM-768,3,1184,1088,14,0.513422
ML-KEM,ML-KEM-768,3,1184,1088,15,0.469165
ML-KEM,ML-KEM-768,3,1184,1088,16,0.483811
ML-KEM,ML-KEM-768,3,1184,1088,17,0.516991
ML-KEM,ML-KEM-768,3,1184,1088,18,0.581129
ML-KEM,ML-KEM-768,3,1184,1088,19,0.539529
ML-KEM,ML-KEM-768,3,1184,1088,20,0.581182
ML-KEM,ML-KEM-768,3,1184,1088,21,0.615968
ML-KEM,ML-KEM-768,3,1184,1088,22,0.636612
ML-KEM,ML-KEM-768,3,1184,1088,23,0.589480
ML-KEM,ML-KEM-768,3,1184,1088,24,0.613694
ML-KEM,ML-KEM-768,3,1184,1088,25,0.511867
ML-KEM,ML-KEM-768,3,1184,1088,26,0.715962
ML-KEM,ML-KEM-768,3,1184,1088,27,0.544853
ML-KEM,ML-KEM-768,3,1184,1088,28,0.585333
ML-KEM,ML-KEM-768,3,1184,1088,29,0.510837
ML-KEM,ML-KEM-1024,5,1568,1568,0,2.556594
ML-KEM,ML-KEM-1024,5,1568,1568,1,0.615519
ML-KEM,ML-KEM-1024,5,1568,1568,2,0.619297
ML-KEM,ML-KEM-1024,5,1568,1568,3,0.511827
ML-KEM,ML-KEM-1024,5,1568,1568,4,0.470215
ML-KEM,ML-KEM-1024,5,1568,1568,5,0.610089
ML-KEM,ML-KEM-1024,5,1568,1568,6,0.552171
ML-KEM,ML-KEM-1024,5,1568,1568,7,0.613578
ML-KEM,ML-KEM-1024,5,1568,1568,8,0.511284
ML-KEM,ML-KEM-1024,5,1568,1568,9,0.541042
ML-KEM,ML-KEM-1024,5,1568,1568,10,0.586883
ML-KEM,ML-KEM-1024,5,1568,1568,11,0.543797
ML-KEM,ML-KEM-1024,5,1568,1568,12,0.582511
ML-KEM,ML-KEM-1024,5,1568,1568,13,0.619507
ML-KEM,ML-KEM-1024,5,1568,1568,14,0.611859
ML-KEM,ML-KEM-1024,5,1568,1568,15,0.608339
ML-KEM,ML-KEM-1024,5,1568,1568,16,0.634936
ML-KEM,ML-KEM-1024,5,1568,1568,17,0.471247
ML-KEM,ML-KEM-1024,5,1568,1568,18,0.537492
ML-KEM,ML-KEM-1024,5,1568,1568,19,0.507355
ML-KEM,ML-KEM-1024,5,1568,1568,20,0.601054
ML-KEM,ML-KEM-1024,5,1568,1568,21,0.625947
ML-KEM,ML-KEM-1024,5,1568,1568,22,0.615742
ML-KEM,ML-KEM-1024,5,1568,1568,23,0.612659
ML-KEM,ML-KEM-1024,5,1568,1568,24,0.617689
ML-KEM,ML-KEM-1024,5,1568,1568,25,0.472670
ML-KEM,ML-KEM-1024,5,1568,1568,26,0.661362
ML-KEM,ML-KEM-1024,5,1568,1568,27,0.602895
ML-KEM,ML-KEM-1024,5,1568,1568,28,0.589636
ML-KEM,ML-KEM-1024,5,1568,1568,29,0.534981
